JA_BI,

noun1,noun2,frequency
drainage,basin,0.06
founder,effect,0.06
dispersion,model,0.06
immersion,conditions,0.06
clivina,fossor,0.06
fossor,l.,0.06
flood,margins,0.06
riverine,sediments,0.06
flow,increases,0.06
occurrence,sampling,0.06
savanna,area,0.06
sensu,stricto,0.06
gerais,state,0.06
’,s,0.06
body,part,0.06
fieldwork,observations,0.06
aggregation,present,0.06
field,observation,0.06
e.,brasiliensis,0.06
lycocarpum,plants,0.06
plastic,tubes,0.06
a.,dictyotus,0.06
phymatodes,mulsant,0.06
melasmetus,reitter,0.06
p.,femoralis,0.06
femoralis,demelti,0.06
demelti,heyrovski,0.06
magnanii,sama,0.06
type,localities,0.06
p.,rufipes,0.06
poecilium,fairmaire,0.06
alni,pici,0.06
p.,fasciatum,0.06
p.,lividum,0.06
konya,provinces,0.06
pusillum,rufipenne,0.06
monotypic,genus,0.06
marine,ecosystem,0.06
biota,lives,0.06
consider,corals,0.06
acropora,palmata,0.06
palmata,harbors,0.06
a.,palmata,0.06
growth,medium,0.06
pseudopterogorgia,americana,0.06
v.,coralliilyticus,0.06
coralliilyticus,possess,0.06
mucus,isolates,0.06
oculina,patagonica,0.06
vibrio,shiloi,0.06
diploria,strigosa,0.06
cooney,et,0.06
clostridium,sequences,0.06
coral,pathogens,0.06
carbon,triplicate,0.06
batch,cultures,0.06
achnanthidium,minutissimum,0.06
lanceolatum,bréb,0.06
scenedesmus,armatus,0.06
r.,chodat,0.06
stream,observations,0.06
stainless,steel,0.06
steel,cap,0.06
phase,growth,0.06
mm,tuffryn®,0.06
algal,cultures,0.06
water,samples,0.06
dupage,county,0.06
effluent,release,0.06
stream,flow,0.06
der,site,0.06
district,plant,0.06
field,measurements,0.06
plant,operating,0.06
operating,data,0.06
amber,glass,0.06
glass,jugs,0.06
carbon,concentration,0.06
standard,method,0.06
carbon,sample,0.06
organics,analysis,0.06
der,sites,0.06
e.,branch,0.06
branch,dupage,0.06
dupage,river,0.06
µm,teflon,0.06
teflon,filter,0.06
glycerol,solution,0.06
incubations,subsamples,0.06
field,sites,0.06
observation,period,0.06
oxygen,concentration,0.06
lake,restoration,0.06
phosphorus,concentrations,0.06
phytoplankton,development,0.06
bloom,events,0.06
lake,water,0.06
winter,values,0.06
µg,c,0.06
protein,production,0.06
summer,stratification,0.06
correlation,coefficient,0.06
postojnska,jama,0.06
study,site,0.06
cave,entrances,0.06
cave,air,0.06
pri,mumiji,0.06
air,flow,0.06
tourist,train,0.06
speleobiology,research,0.06
tourist,visits,0.06
sampling,sites,0.06
external,atmosphere,0.06
tourist,tours,0.06
water,splash,0.06
water,course,0.06
surface,stream,0.06
cave,environment,0.06
sampling,site,0.06
river,course,0.06
rn,concentration,0.06
tourist,railways,0.06
cave,passage,0.06
skin-like,patterns,0.06
cave,walls,0.06
microbe,release,0.06
mass,tourism,0.06
air,quality,0.06
displacement,analysis,0.06
force,reconstruction,0.06
reconstruction,methods,0.06
force,microscopy,0.06
paa,gel,0.06
displacement,field,0.06
bead,images,0.06
displacement,fields,0.06
velocimetry,software,0.06
differences,algorithm,0.06
cross-correlation,coefficient,0.06
reference,image,0.06
interpolation,method,0.06
displacement,data,0.06
transform,traction,0.06
traction,cytometry,0.06
cytometry,butler,0.06
butler,et,0.06
sabass,et,0.06
traction,stresses,0.06
force,measurements,0.06
element,method,0.06
regularization,parameters,0.06
adhesion,lengths,0.06
adhesion,images,0.06
adhesion,rates,0.06
adhesion,lifetimes,0.06
time,lapse,0.06
adhesion,dynamics,0.06
stress,vectors,0.06
weight,function,0.06
stress,footprint,0.06
material,fig,0.06
incubation,time,0.06
dia,inhibitor,0.06
actin,immunofluorescence,0.06
immunofluorescence,images,0.06
dia1,sirna,0.06
bulk,cell,0.06
hyphomycete,community,0.06
hyphomycete,communities,0.06
process,confirm,0.06
confirm,assertions,0.06
rate,dynamics,0.06
production,varies,0.06
adhesion,capability,0.06
material,[,0.06
weeks,incubation,0.06
sporulation,dynamics,0.06
study,area,0.06
treton,et,0.06
sporulation,potential,0.06
alder,leaves,0.06
a.,acuminata,0.06
precipitation,regimes,0.06
mineralization,rates,0.06
litter,bags,0.06
mediterranean,sites,0.06
c/n,ratio,0.06
decomposition,rate,0.06
climate,models,0.06
winter,temperatures,0.06
rainfall,amount,0.06
ecosystem,functions,0.06
soil,biodiversity,0.06
nutrient,sources,0.06
turnover,rate,0.06
moisture,availability,0.06
quercus,serrata,0.06
quercus,acutissima,0.06
acer,rufinerve,0.06
pinus,densiflora,0.06
floor,litter,0.06
rainfall,enhances,0.06
enhances,mass,0.06
decaying,process,0.06
],study,0.06
salamanca,et,0.06
judean,desert,0.06
schaefer,et,0.06
pore,complexes,0.06
protein,transport,0.06
transport,complexes,0.06
e3,ligase,0.06
dynein,light,0.06
light,chain,0.06
cell,division,0.06
pore,complex,0.06
nups,subcomplexes,0.06
transmembrane,proteins,0.06
npc,core,0.06
core,scaffold,0.06
linker,nups,0.06
transport,function,0.06
transport,receptors,0.06
cell,cycle–dependent,0.06
cycle–dependent,manner,0.06
yeast,nups,0.06
hitchcock,et,0.06
yeast,npc,0.06
protein,turnover,0.06
cell,cycle,0.06
cycle,progression,0.06
guidance,responses,0.06
botulinum,neurotoxin,0.06
neurotoxin,d,0.06
syb2,knockout,0.06
knockout,mice,0.06
plasma,matrix,0.06
area,perpendicular,0.06
culture,systems,0.06
root,ganglion,0.06
control,condition,0.06
control,explants,0.06
guidance,assays,0.06
concentration,gradient,0.06
growth,cone,0.06
video,microscopy,0.06
image,processing,0.06
processing,adult,0.06
adult,brains,0.06
eye–brain,complexes,0.06
%,formaldehyde,0.06
hcx,plan,0.06
glycerin,lens,0.06
intensity,projections,0.06
hiesinger,et,0.06
photoreceptor,terminals,0.06
photoreceptor,mosaics,0.06
colocalization,experiments,0.06
colocalization,experiment,0.06
microscopy,samples,0.06
vector,laboratories,0.06
immunoresearch,laboratories,0.06
guinea,pig,0.06
school,glue,0.06
diode,system,0.06
eye–lamina,complexes,0.06
hl3,medium,0.06
extraction,buffer,0.06
protease,inhibitor,0.06
%,page,0.06
page,gel,0.06
liquid,nitrogen,0.06
immunoprecipitation,buffer,0.06
protease,inhibitors,0.06
fly,head,0.06
head,extract,0.06
%,triton,0.06
cell,migration,0.06
p53,expression,0.06
rcp,mutant,0.06
c2,domain,0.06
data,demonstrate,0.06
rab11,effector,0.06
tumor,cell,0.06
cell,invasion,0.06
basement,membranes,0.06
target,organs,0.06
require,cancer,0.06
migratory,characteristics,0.06
migratory,properties,0.06
transmembrane,receptors,0.06
actin,cytoskeleton,0.06
domain–containing,proteins,0.06
surface,integrins,0.06
a5ß1,integrins,0.06
ligand,engagement,0.06
a5ß1,integrin,0.06
mutant,forms,0.06
muller,et,0.06
migratory,consequences,0.06
ecm,environment,0.06
causes,cells,0.06
results,foxo,0.06
nuclei,foxo,0.06
misexpression,screen,0.06
activation,sequence,0.06
driver,elavgal4,0.06
foxo,levels,0.06
transgene,yields,0.06
late-stage,wild-type,0.06
gene,structure,0.06
instar,larvae,0.06
foxo25,code,0.06
forkhead,domain,0.06
jünger,et,0.06
foxo,locus,0.06
foxo25,allele,0.06
foxo,allele,0.06
gs1664,p,0.06
p,element,0.06
element,transposon,0.06
foxo,protein,0.06
expression,pattern,0.06
nerve,cord,0.06
foxo,staining,0.06
instar,larval,0.06
l3,vnc,0.06
marker,repo,0.06
neuron,marker,0.06
neuron,identity,0.06
foxo,rnai,0.06
rnai,construct,0.06
d42gal4,driver,0.06
methods,antibodies,0.06
cruz,biotechnology,0.06
family,antibody,0.06
antibody,py416,0.06
vinculin,antibody,0.06
goat,anti–rabbit,0.06
cell,culture,0.06
cancer,cell,0.06
lines,bxpc3,0.06
type,culture,0.06
zhenkun,lou,0.06
panc04.03,cells,0.06
µg/ml,streptomycin,0.06
%,co2,0.06
transfection,mt1-mmp-gfp,0.06
mario,negri,0.06
negri,sud,0.06
rat,brain,0.06
brain,cdna,0.06
cdna,library,0.06
sfb,vector,0.06
flag,tag,0.06
s,instructions,0.06
thermo,fisher,0.06
reexpression,experiments,0.06
blotting,cells,0.06
s,protein,0.06
protein,ip,0.06
cell,lysate,0.06
sample,buffer,0.06
microscopy,cells,0.06
acioobserver,microscope,0.06
ivision,software,0.06
biovision,technologies,0.06
adobe,photoshop,0.06
gelatin,coating,0.06
%,glutaraldehyde,0.06
gelatin,matrix,0.06
%,gelatin,0.06
oregon,green,0.06
green,gelatin,0.06
degradation,assay,0.06
cell,suspensions,0.06
