TB_BI,

noun1,noun2,frequency
surface,modelling,0.06
modelling,tool,0.06
lattice,approach,0.06
individual,differences,0.06
forcing,functions,0.06
s,density,0.06
line,system,0.06
s,day,0.06
gold,flecks,0.06
faster,water,0.06
cm,fish,0.06
opening,example,0.06
freshwater,systems,0.06
word,littoral,0.06
pelagic,zone,0.06
word,micro-habitat,0.06
world,everything,0.06
speciation,rates,0.06
time,period,0.06
wet,season,0.06
rain,today,0.06
rain,yesterday,0.06
days,increases,0.06
reason,statisticians,0.06
shorthand,algebra,0.06
seafloor,habitats,0.06
habitats,share,0.06
share,characteristics,0.06
physiologic,problems,0.06
land,habitat,0.06
slope,depths,0.06
sea,level,0.06
lowland,rainforest,0.06
deep-sea,zone,0.06
deep-sea,sites,0.06
kelp,forests,0.06
food,accumulates,0.06
surface,production,0.06
water,column,0.06
oxygen,concentration,0.06
pressure,increases,0.06
m,depth,0.06
wisconsin,glaciation,0.06
substrate,type,0.06
type,–,0.06
–,rock,0.06
particle,size,0.06
gravel,>,0.06
>,sand,0.06
food,supply,0.06
rock,supports,0.06
supports,assemblages,0.06
