TB_HI,

noun1,noun2,frequency
strike,fighters,0.06
lockheed,martin,0.06
enemy,air,0.06
air,defenses,0.06
weapons,systems,0.06
defense,spending,0.06
accounting,standards,0.06
percent,barrier,0.06
defense,agency,0.06
pacifist,sentiments,0.06
s,capabilities,0.06
weapons,capabilities,0.06
pko,missions,0.06
missile,tests,0.06
weapons,development,0.06
development,program,0.06
nonaggression,pact,0.06
ankara,regime,0.06
axis,powers,0.06
colonial,empires,0.06
congress,party,0.06
loyal.,’,0.06
s,resources,0.06
muslim,nation,0.06
armistice,agreement,0.06
maxime,weygand,0.06
s,command,0.06
coup,d,0.06
vichy,france,0.06
levantine,airports,0.06
vichy,forces,0.06
anthony,eden,0.06
georges,catroux,0.06
s,name,0.06
reza,shah,0.06
europe,chiefly,0.06
southwest,asia,0.06
taylor,mahan,0.06
supply,center,0.06
security,discourse,0.06
security,terminology,0.06
maghrib,states,0.06
iran,share,0.06
israel,share,0.06
colonial,regimes,0.06
exception,patterns,0.06
hammurabi,code,0.06
coherent,system,0.06
core,monotheist,0.06
monotheist,religions,0.06
religions,judaism,0.06
today,comprise,0.06
history,today,0.06
hurricane,katrina,0.06
hurricane,preparedness,0.06
emergency,services,0.06
schools,today,0.06
education,programs,0.06
art,forms,0.06
john,dewey,0.06
choreographer,perform,0.06
research,instrument,0.06
culture,products,0.06
product,trading,0.06
trading,worldwide,0.06
pop,culture,0.06
culture,matters,0.06
television,programs,0.06
culture,producers,0.06
home,countries,0.06
reason,americans,0.06
trade,combines,0.06
trade,negotiators,0.06
peter,morici,0.06
trade,commission,0.06
california,trade,0.06
commerce,agency,0.06
mike,marando,0.06
marketplace,issue,0.06
chicago,park,0.06
park,district,0.06
calumet,avenue,0.06
massacre,monument,0.06
dearborn,park,0.06
play,lot,0.06
chicago,history,0.06
community,residents,0.06
park,name,0.06
s,perspective,0.06
today,historians,0.06
detroit,judge,0.06
defeat.,’,0.06
john,kinzie,0.06
harry,a.,0.06
a.,musham,0.06
retirement,decades,0.06
massacre.,’,0.06
indiscriminate,killing,0.06
royalist,refugees,0.06
south,america,0.06
ancient,regime,0.06
nobility,structure,0.06
war,effort,0.06
sir,ralph,0.06
ralph,abercromby,0.06
war,office,0.06
refugee,problem,0.06
wavering,loyalty,0.06
abolition,agitation,0.06
salvador,samayoa,0.06
core,interests,0.06
peace,process,0.06
observer,mission,0.06
el,salvador,0.06
peace,settlements,0.06
salvadoran,people,0.06
field,candidates,0.06
s,respect,0.06
market,economy,0.06
police,agencies,0.06
state,intelligence,0.06
intelligence,office,0.06
office,reporting,0.06
panama,regime,0.06
regime,liberalization,0.06
costa,rica,0.06
peninsula,south,0.06
bay,line,0.06
east.,’,0.06
s,rule,0.06
koguryo,general,0.06
tang,emperor,0.06
emperor,gaozong,0.06
bloody,struggles,0.06
jilin,province,0.06
sunrise,’,0.06
name,k,0.06
koguryo,territory,0.06
parhae,kingdom,0.06
successor,kingdom,0.06
parhae,’,0.06
tang,dynasty,0.06
s,use,0.06
king,’,0.06
s,successor,0.06
successor,state,0.06
parhae,envoy,0.06
parhae,‘,0.06
puyo.,’,0.06
return,message,0.06
message,japan,0.06
apache,leader,0.06
leader,geronimo,0.06
john,ross,0.06
s,band,0.06
reservation,lands,0.06
horn,everyone,0.06
glory,days,0.06
rock,lakota,0.06
lakota,agency,0.06
government,sweep,0.06
