JA_HI,

noun1,noun2,normed_freq
symbol,scholarship,0.06
studies,movement,0.06
caroline,ware,0.06
era,’,0.06
war—might,evaporate,0.06
army,general,0.06
party,leaders,0.06
shorthand,terms,0.06
mexicanization,”,0.06
newspaper,articles,0.06
president,rutherford,0.06
harper,’,0.06
“,scarecrow,0.06
scarecrow,”,0.06
scholar,john,0.06
john,codman,0.06
codman,hurd,0.06
party,contests,0.06
war,”,0.06
history,rests,0.06
s,fragility,0.06
mexicanization,discourse,0.06
state,fragility,0.06
manmade,process,0.06
crises—,“,0.06
race,politics,0.06
philosopher,alain,0.06
alain,locke,0.06
general.,”,0.06
s,anthology,0.06
art,collectors,0.06
dealer,louis,0.06
louis,carre´,0.06
record,prices,0.06
flea,markets,0.06
art,galleries,0.06
africa,pavilion,0.06
france,underwent,0.06
profound,shift,0.06
paul,rivet,0.06
muse´e,ethnographique,0.06
ethnographique,du,0.06
du,trocade´ro,0.06
james,clifford,0.06
marcel,griaule,0.06
michel,leiris,0.06
evidence,confirms,0.06
braunschweig,theologian,0.06
gymnasium,professor,0.06
schrader,’,0.06
creation,forward,0.06
geography,pastorius,0.06
pastorius,read,0.06
model,compilation,0.06
renaissance,classic,0.06
world,’,0.06
s,land,0.06
land,masses,0.06
land,mass,0.06
s,work,0.06
ancient,authority,0.06
jesuit,michael,0.06
michael,pexenfelder,0.06
sciences,pastorius,0.06
metal,characters,0.06
holy,roman,0.06
language,poetry,0.06
property,serving,0.06
roman,law,0.06
border,lines,0.06
possidetis,juris,0.06
royal,decrees,0.06
state,intervention,0.06
john,coatsworth,0.06
professor,wu,0.06
wu,yujin,0.06
history,textbook,0.06
wu,argues,0.06
history,model,0.06
history,coincides,0.06
s,thinking,0.06
history,”,0.06
identity,formation,0.06
bourgeois,historians,0.06
guguo,shulue,0.06
concise,history,0.06
world,civilizations,0.06
education,press.21,0.06
“,zhou,0.06
s,idea.,0.06
war,environment,0.06
history,writing,0.06
history,systems,0.06
socialist,system,0.06
civilization,alien,0.06
globalization,process,0.06
sciences,sector,0.06
question,arises,0.06
winter,snow,0.06
ice,cores,0.06
guangxu,reign,0.06
freshwater,snails,0.06
turn,spread,0.06
summer,rainfalls,0.06
growth,season,0.06
jiaiqing,famine,0.06
climate,change,0.06
home,countries,0.06
infantry,force,0.06
gertrude,bell,0.06
pure,japan,0.06
meiji,state,0.06
son,kazuo,0.06
lesson,time,0.06
nothing,good,0.06
man,happier,0.06
score,years,0.06
family,car,0.06
middle-class,arrival,0.06
conference,papers,0.06
area,studies,0.06
research,beginning,0.06
consumer,societies,0.06
matthias,judt,0.06
martin,daunton,0.06
matthew,hilton.3,0.06
organizing,principle,0.06
florida,straits,0.06
exchange,goods,0.06
long-distance,commerce,0.06
goods,trade,0.06
port,states,0.06
glass,beads,0.06
trade,goods,0.06
tortoise,shell,0.06
rock,crystal,0.06
henry,wright,0.06
absolute,reliability,0.06
sanje,ya,0.06
porcelain,ware,0.06
analysis,undertaken,0.06
trading,site,0.06
trading,sites,0.06
jar,shards,0.06
kiln,sites,0.06
tu,images,0.06
painting,albums,0.06
woodblock,prints,0.06
disparate,people,0.06
tu,production,0.06
production,images,0.06
inland,areas,0.06
jiangxi,province,0.06
viewing,practice,0.06
craig,clunas,0.06
ming,connoisseurship,0.06
connoisseurship,texts,0.06
status,distinctions,0.06
ming,society,0.06
pierre,bourdieu,0.06
jingdezhen,porcelain,0.06
world,order.54,0.06
order.54,links,0.06
world,silver,0.06
phenomenon,belongs,0.06
robert,finlay,0.06
durée,history,0.06
set,roles,0.06
ngo,tribune,0.06
ashraf,pahlavi,0.06
twin,sister,0.06
iron,butterfly,0.06
filipina,dress,0.06
york,times,0.06
chicago,defender,0.06
iwy,tribune,0.06
tribune,newspaper,0.06
newspaper,xilonen,0.06
corporeal,displays,0.06
sex,appeal,0.06
valentina,tereshkova,0.06
state,dinners,0.06
press,conferences,0.06
city,dailies,0.06
newspaper,le,0.06
le,monde,0.06
end,page,0.06
sex,roles,0.06
textbook,example,0.06
theorist,nancy,0.06
nancy,fraser,0.06
fraser,describes,0.06
public/private,divide,0.06
power,differentials,0.06
rights,feminism,0.06
humanae,vitae,0.06
successor,john,0.06
church,structure,0.06
alfonso,lópez,0.06
lópez,trujillo,0.06
rights,agenda,0.06
leadership,conference,0.06
pope,john,0.06
rights,activists,0.06
vienna,world,0.06
cairo,conference,0.06
birth,control,0.06
control,policy,0.06
character,lin,0.06
lin,daiyu,0.06
wang,zhenyi,0.06
philosophers,gilles,0.06
gilles,deleuze,0.06
félix,guattari,0.06
majority,canon,0.06
women,stands,0.06
women,poets,0.06
disease,towards,0.06
richard,nixon,0.06
female,leaders,0.06
male,party,0.06
party,leadership,0.06
state,party,0.06
accommodation,politics,0.06
women,candidates,0.06
broadway,actress,0.06
dust,bowl,0.06
bowl,migrants,0.06
film,star,0.06
name,recognition,0.06
franklin,roosevelt,0.06
alternate,delegate,0.06
male,politicians,0.06
leadership,skills.2,0.06
skills.2,douglas,0.06
scholars,credit,0.06
los,angeles,0.06
party,politics,0.06
party,auxiliaries,0.06
party,loyalty,0.06
party,structure,0.06
population,increase,0.06
networking.30,vd,0.06
colonial,buganda,0.06
colonial,officers,0.06
labor,force,0.06
colonial,troops,0.06
colonial,army,0.06
colonial,status,0.06
status,quo.38,0.06
colonial,hegemony.39,0.06
war,ii,0.06
government,residents,0.06
protector,symmons,0.06
labouring,population,0.06
settler,imagination,0.06
humane,intentions,0.06
decreasing,numbers,0.06
children—a,fact,0.06
child,rearing,0.06
rearing,practices,0.06
stieg,larsson,0.06
millennium,trilogy,0.06
trilogy,crime,0.06
crime,novels,0.06
s,sf,0.06
sf,exhibition,0.06
uppinder,mehan,0.06
mehan,state,0.06
orientalist,stereotyping,0.06
s,concept,0.06
status,quo,0.06
s,storyline,0.06
dongria,kongh,0.06
mountain,[,0.06
mining,company,0.06
company,vedanta.76,0.06
bil,’,0.06
vi,characters,0.06
separation,barrier,0.06
china,bloggers,0.06
film,industry,0.06
official,statement,0.06
s,focus,0.06
sands,projects,0.06
full-page,adverts,0.06
s,avatar,0.06
avatar,sands.,0.06
ayoreo,tribe,0.06
s,bulldozers,0.06
discussion,amongst,0.06
amongst,students,0.06
history,class,0.06
